Fuel Type Code,Station Name,City,State,Status Code,Latitude,Longitude,Groups With Access Code
CNG,Alagasco Tuscaloosa Operations Center,Tuscaloosa,AL,E,33.161768,-87.55676,Private access only
CNG,Alagasco Montgomery Operations Center,Montgomery,AL,E,32.367163399999995,-86.26739570000001,Private access only
CNG,Fort Gordon,Fort Gordon,GA,E,33.4134459,-82.1760442,Private - government only
CNG,Clayton County Fleet Maintenace,Jonesboro,GA,E,33.5357245,-84.3468952,Private - government only
CNG,Clean Energy - PS Energy - UFO,Atlanta,GA,E,33.74547379999999,-84.4000209,Private - fleet customers only
CNG,Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,E,33.823679600000006,-84.3691579,Private - government only
CNG,City of Macon Transportation Center,Macon,GA,E,32.8234272,-83.6279255,Private - fleet customers only
CNG,University of Georgia,Athens,GA,E,33.929499299999996,-83.3674071,Private access only
CNG,United Parcel Service - Atlanta,Atlanta,GA,E,33.758746,-84.539863,Private - fleet customers only
CNG,Clean Energy - Texas Department of Transportation,Houston,TX,E,29.779156,-95.433938,Public - credit card at all times
CNG,Arkansas Oklahoma Gas Corp,Fort Smith,AR,E,35.362856,-94.3728833,Public - credit card at all times
CNG,Alternative Vehicle Service Group - Logan International Airport,East Boston,MA,E,42.3705924,-71.02582679999999,Public - card key at all times
CNG,Clean Energy - National Grid West Roxbury,West Roxbury,MA,E,42.278889899999996,-71.18033299999999,Public - credit card at all times
CNG,Clean Energy - National Grid Everett,Everett,MA,E,42.393190999999995,-71.0643939,Public - credit card at all times
CNG,Maryland Department of General Services,Baltimore,MD,E,39.301951,-76.622804,Private - government only
CNG,Baltimore Washington International Airport - Maryland Department of General Services,Baltimore,MD,E,39.17698060000001,-76.6701475,Private - government only
CNG,Clean Energy - National Grid Staten Island Service Center,Staten Island,NY,E,40.624891999999996,-74.179,Public - credit card at all times
CNG,National Grid - Port Authority of New York and New Jersey,Queens,NY,E,40.645396999999996,-73.78671700000001,Public - card key at all times
CNG,Clean Energy - National Grid Greenpoint Energy Center,Brooklyn,NY,E,40.718069899999996,-73.9315168,Public - credit card at all times
CNG,Clean Energy - National Grid Canarsie Service Center,Brooklyn,NY,E,40.645196,-73.917927,Public - credit card at all times
CNG,City of Corpus Christi Gas Department,Corpus Christi,TX,E,27.750055,-97.421115,Public - see hours
CNG,Con Edison - West 29th Street Service Center,New York,NY,E,40.75385,-74.00725899999999,Public - card key at all times
CNG,Con Edison - East 16th Street Service Center,New York,NY,E,40.7297044,-73.9746877,Public - card key at all times
CNG,Con Edison - Van Nest Service Center,Bronx,NY,E,40.8437,-73.857686,Public - card key at all times
CNG,Con Edison - Rye Service Center,Rye,NY,E,40.979304600000006,-73.6916728,Public - card key at all times
CNG,Clean Energy - New York State Department of Transportation,Valhalla,NY,E,41.08231729999999,-73.8133384,Public - card key at all times
CNG,Con Edison - College Point Service Center,Queens,NY,E,40.767802,-73.845956,Public - card key at all times
CNG,City of Enumclaw,Enumclaw,WA,E,47.2063745,-121.9855027,Private access only
CNG,Clean Energy - National Grid Cape Cod,South Yarmouth,MA,E,41.688787,-70.20125300000001,Public - credit card at all times
CNG,Florida City Gas,Rockledge,FL,P,28.2907321,-80.69859009999999,PLANNED - not yet accessible
CNG,Lanesdale Facility - Citizens Energy Group,Indianapolis,IN,E,39.797769,-86.173036,Public - card key at all times
CNG,Greene's Auto & Truck Service - Citizens Energy Group,Indianapolis,IN,E,39.736334899999996,-86.16097099999999,Public - card key after hours
CNG,DTE Energy - Citizens Gas Fuel Co,Adrian,MI,E,41.89956289999999,-84.0375507,Public - call ahead
CNG,Sandusky International,Sandusky,OH,E,41.454931,-82.717608,Private access only
CNG,Columbia Gas of Pennsylvania - Zappi Oil & Gas Co,Washington,PA,P,40.1775838,-80.2616651,PLANNED - not yet accessible
CNG,Clean Energy - Cheyenne Light Fuel & Power,Cheyenne,WY,E,41.1360534,-104.8319365,Public - credit card at all times
CNG,Shell,Hartford,CT,E,41.7369158,-72.66005799999999,Public - see hours
CNG,Entergy Gas Operations,Baton Rouge,LA,E,30.450727500000003,-91.1426352,Public - credit card at all times
CNG,Entergy Gas Operations,Baton Rouge,LA,E,30.4716104,-91.08871540000001,Public - card key at all times
CNG,Ohio Department of Transportation - District 12,Garfield Heights,OH,E,41.415286,-81.615551,Private access only
CNG,Elizabethtown Gas Co,Union,NJ,E,40.6765,-74.2483,Private access only
CNG,Clean Energy - O'Rourke,Houston,TX,E,29.787556899999995,-95.2797765,Public - credit card at all times
CNG,Clean Energy - East Side Animal Control Center,Albuquerque,NM,E,35.086788500000004,-106.54500220000001,Private - government only
CNG,Clean Energy - Santa Fe Trails Transit,Santa Fe,NM,E,35.657827600000005,-105.9933382,Public - credit card at all times
CNG,Kansas Gas Service,Overland Park,KS,E,38.966048,-94.71694699999999,Public - credit card at all times
CNG,Intermountain Gas Co,Boise,ID,E,43.599167,-116.27594599999999,Private access only
CNG,Intermountain Gas Co,Pocatello,ID,E,42.9496325,-112.468075,Private access only
CNG,Intermountain Gas Co,Twin Falls,ID,E,42.573928,-114.46115400000001,Private access only
CNG,Intermountain Gas Co,Idaho Falls,ID,E,43.509729,-112.00744499999999,Private access only
CNG,Intermountain Gas Co,Nampa,ID,E,43.615117,-116.618458,Private access only
CNG,ValleyRide,Boise,ID,E,43.5588593,-116.2437304,Private access only
CNG,Kansas Gas Service,Topeka,KS,E,39.058747,-95.667889,Public - credit card at all times
CNG,Long Beach Water Department,Long Beach,CA,E,33.8189035,-118.1697942,Private access only
CNG,Laclede Gas Company - Central,Saint Louis,MO,E,38.634723,-90.24423890000001,Private access only
CNG,Laclede Gas Co - Shrewsbury Facility,Saint Louis,MO,E,38.598614000000005,-90.323459,Public - call ahead
CNG,Clean Energy - National Grid Brentwood Service Center,Brentwood,NY,E,40.784165,-73.21924200000001,Public - credit card at all times
CNG,Clean Energy - National Grid Hicksville Headquarters,Hicksville,NY,E,40.76616,-73.512375,Public - credit card at all times
CNG,Clean Energy - City of Irving,Irving,TX,E,32.817883,-96.988716,Public - credit card at all times
CNG,Clean Energy - Downtown Dallas,Dallas,TX,E,32.776194,-96.81394399999999,Public - credit card at all times
CNG,Fort Worth Transportation Authority - The T,Fort Worth,TX,E,32.7458021,-97.31108420000001,Private - government only
CNG,Clean Energy - Garland,Garland,TX,E,32.8972525,-96.6837518,Public - credit card at all times
CNG,Montana-Dakota Utilities Co,Bismarck,ND,E,46.7968696,-100.7628074,Public - card key at all times
CNG,Montana-Dakota Utilities Co,Dickinson,ND,E,46.8759992,-102.80606,Public - card key at all times
CNG,Montana-Dakota Utilities Co,Billings,MT,E,45.7906579,-108.4961408,Public - card key at all times
CNG,Montana-Dakota Utilities Co,Glendive,MT,E,47.129381,-104.693883,Public - card key at all times
CNG,Baggs Station - Questar Gas,Baggs,WY,E,41.0333719,-107.6578538,Private access only
CNG,Hiawatha Station - Questar Gas,Rock Springs,WY,E,41.5781246,-109.20447709999999,Private access only
CNG,Questar Gas - Rock Springs,Rock Springs,WY,E,41.578125,-109.20447659999998,Public - credit card at all times
CNG,Church Buttes Station - Questar Gas,Lyman,WY,E,41.362790000000004,-110.319347,Private access only
CNG,Lyman Station - Questar Gas,Lyman,WY,E,41.3305868,-110.292953,Private access only
CNG,Coalville Station - Questar Gas,Coalville,UT,E,40.9142929,-111.3719269,Private access only
CNG,Heber Service Center - Questar Gas,Heber,UT,E,40.507338,-111.41630500000001,Private access only
CNG,Orem City,Orem,UT,E,40.314777899999996,-111.71774599999999,Private access only
CNG,Top Stop,Park City,UT,E,40.662426,-111.51194699999999,Public - see hours
CNG,Roosevelt Service Center - Questar Gas,Roosevelt,UT,E,40.298120700000005,-109.99008559999999,Private access only
CNG,Questar Gas - Sandy,Sandy,UT,E,40.583115899999996,-111.907707,Public - credit card at all times
CNG,Jordan School District,West Jordan,UT,E,40.62736829999999,-111.98414009999999,Public - card key at all times
CNG,Coca-Cola Swire Holding Co,Draper,UT,E,40.5221682,-111.8990002,Private access only
CNG,Questar Gas - Salt Lake City,Salt Lake City,UT,E,40.7649995,-111.92400490000001,Public - credit card at all times
CNG,Salt Lake Operations Center,Salt Lake City,UT,E,40.7671886,-111.91968999999999,Private access only
CNG,Baxter Field Station - Wexpro,Salt Lake City,UT,E,40.7674289,-111.8881275,Private access only
CNG,Tesoro,Salt Lake City,UT,E,40.7714565,-111.93907720000001,Public - credit card at all times
CNG,Utah Power,Salt Lake City,UT,E,40.7714919,-111.93107490000001,Private access only
CNG,Coca-Cola Swire Pacific Holdings,Salt Lake City,UT,E,40.7222673,-111.96926,Private access only
CNG,Salt Lake County Oxbow Prison,Salt Lake City,UT,E,40.702332,-111.923647,Private - government only
CNG,Salt Lake City International Airport Authority,Salt Lake City,UT,E,40.774676899999996,-111.980174,Private access only
CNG,LW's Conoco,Logan,UT,E,41.735628399999996,-111.86060149999999,Public - see hours
