fuel_type_code,station_name,city,state,status_code,latitude,longitude,groups_with_access_code,index
CNG,Alagasco Tuscaloosa Operations Center,Tuscaloosa,AL,E,33.161768,-87.55676,Private access only,0
CNG,Alagasco Montgomery Operations Center,Montgomery,AL,E,32.367163399999995,-86.26739570000001,Private access only,1
CNG,Fort Gordon,Fort Gordon,GA,E,33.4134459,-82.1760442,Private - government only,2
CNG,Clayton County Fleet Maintenace,Jonesboro,GA,E,33.5357245,-84.3468952,Private - government only,3
CNG,Clean Energy - PS Energy - UFO,Atlanta,GA,E,33.74547379999999,-84.4000209,Private - fleet customers only,4
CNG,Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,E,33.823679600000006,-84.3691579,Private - government only,5
CNG,City of Macon Transportation Center,Macon,GA,E,32.8234272,-83.6279255,Private - fleet customers only,6
CNG,University of Georgia,Athens,GA,E,33.929499299999996,-83.3674071,Private access only,7
CNG,United Parcel Service - Atlanta,Atlanta,GA,E,33.758746,-84.539863,Private - fleet customers only,8
CNG,Clean Energy - Texas Department of Transportation,Houston,TX,E,29.779156,-95.433938,Public - credit card at all times,9
CNG,Arkansas Oklahoma Gas Corp,Fort Smith,AR,E,35.362856,-94.3728833,Public - credit card at all times,10
CNG,Alternative Vehicle Service Group - Logan International Airport,East Boston,MA,E,42.3705924,-71.02582679999999,Public - card key at all times,11
CNG,Clean Energy - National Grid West Roxbury,West Roxbury,MA,E,42.278889899999996,-71.18033299999999,Public - credit card at all times,12
CNG,Clean Energy - National Grid Everett,Everett,MA,E,42.393190999999995,-71.0643939,Public - credit card at all times,13
CNG,Maryland Department of General Services,Baltimore,MD,E,39.301951,-76.622804,Private - government only,14
CNG,Baltimore Washington International Airport - Maryland Department of General Services,Baltimore,MD,E,39.17698060000001,-76.6701475,Private - government only,15
CNG,Clean Energy - National Grid Staten Island Service Center,Staten Island,NY,E,40.624891999999996,-74.179,Public - credit card at all times,16
CNG,National Grid - Port Authority of New York and New Jersey,Queens,NY,E,40.645396999999996,-73.78671700000001,Public - card key at all times,17
CNG,Clean Energy - National Grid Greenpoint Energy Center,Brooklyn,NY,E,40.718069899999996,-73.9315168,Public - credit card at all times,18
CNG,Clean Energy - National Grid Canarsie Service Center,Brooklyn,NY,E,40.645196,-73.917927,Public - credit card at all times,19
CNG,City of Corpus Christi Gas Department,Corpus Christi,TX,E,27.750055,-97.421115,Public - see hours,20
CNG,Con Edison - West 29th Street Service Center,New York,NY,E,40.75385,-74.00725899999999,Public - card key at all times,21
